"customer_name","email","num_orders","total_spent"
"Emily Davis","emily.davis@email.com","2","1628"
"Angela Gonzalez","agonzalez@email.com","1","1599"
"Amanda Taylor","ataylor@email.com","2","1498"
"Stephanie Martin","smartin@email.com","2","1498"
"Kelly Campbell","kcampbell@email.com","1","1399"
"John Smith","john.smith@email.com","2","1379"
"Rachel King","rking@email.com","1","1299"
"Amy Reed","areed@email.com","1","1299"
"Rebecca Allen","rallen@email.com","2","1298"
"Christopher Moore","cmoore@email.com","2","1239"
